Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
0,315.4,320.5,1578,41.0,31,0
0,315.6,320.4,1556,47.125,127,0
0,314.4,320.8,1376,67.375,220,1
1,314.1,320.8,1517,48.0,190,0
0,313.5,319.5,1579,48.25,131,0
1,312.5,318.1,1334,90.0,156,1
1,315.2,321.6,1467,50.875,28,0
0,312.2,318.5,1766,32.25,12,0
0,314.1,320.1,1435,61.0,234,1
1,313.9,320.1,1441,51.5,194,0
0,312.1,318.1,1633,41.625,197,0
1,315.8,320.3,1494,52.75,40,0
0,315.6,321.7,1488,59.625,27,0
1,313.5,319.0,1921,27.5,201,0
1,313.8,319.7,2098,23.75,138,0
0,313.2,318.6,1353,67.625,43,0
2,313.8,319.6,1309,71.75,190,0
0,312.3,318.7,1492,54.5,194,0
2,312.3,318.7,1430,53.5,158,0
1,315.2,321.6,1415,69.75,87,0
0,312.3,318.7,1551,50.0,130,0
0,312.0,317.8,1500,49.875,180,0
1,315.4,319.8,1517,50.375,154,0
0,314.1,320.3,1411,52.625,79,0
0,313.8,319.7,1505,48.75,136,0
1,313.8,319.6,1693,41.625,175,0
0,313.8,319.8,1493,48.125,137,0
0,314.8,320.2,1911,29.375,171,0
2,314.2,320.6,1434,60.5,158,0
0,313.1,318.6,1354,67.375,212,1
2,314.2,320.8,1761,38.0,185,0
1,312.4,318.7,1392,58.0,179,0
1,315.1,321.2,1452,53.0,195,0
0,314.0,320.0,1672,41.5,149,0
0,313.2,319.0,1353,72.25,94,0
0,315.2,320.2,1530,60.625,20,0
1,312.1,318.5,1515,52.625,86,0
0,312.8,319.0,1403,80.25,5,1
1,315.7,320.6,1609,34.5,113,0
0,315.8,321.7,1397,54.375,232,0
0,312.5,318.4,1433,62.5,223,0
0,314.1,320.5,1419,61.0,81,0
1,315.5,322.0,1382,67.625,32,0
0,312.1,317.9,1496,55.875,93,0
0,314.8,320.3,1524,42.75,201,0
2,315.7,320.3,1369,63.375,17,0
1,312.6,318.5,1360,60.75,82,0
1,313.8,318.6,1507,52.875,212,0
0,315.5,321.9,1511,52.25,210,0
0,313.7,319.1,1607,40.875,7,0
0,312.4,318.4,1603,43.25,70,0
0,315.3,321.9,1609,42.5,182,0
1,312.6,318.6,1585,52.5,95,0
1,315.6,320.6,1463,56.875,201,0
0,314.9,320.3,1268,66.625,151,0
0,313.9,320.6,1363,65.75,195,0
1,312.3,318.3,1595,40.25,34,0
1,313.3,317.9,1609,40.5,156,0
0,313.8,319.8,1463,50.0,95,0
1,315.4,321.8,1362,59.5,193,0
0,312.4,318.6,1680,41.0,205,0
0,314.3,320.8,1426,53.0,5,0
0,312.8,318.9,1871,32.0,205,1
1,312.3,318.0,1598,36.75,153,0
1,315.8,322.3,1535,50.375,76,0
2,315.3,321.6,1427,70.25,13,0
0,315.7,321.9,1476,52.5,201,0
2,312.7,318.3,1488,51.25,106,0
0,313.8,319.7,1225,79.25,42,0
0,312.2,318.4,1462,64.0,107,0
0,312.3,318.4,1469,58.375,70,0
1,315.6,321.6,1669,36.5,205,0
0,315.0,321.4,1487,51.5,27,0
2,315.1,320.1,1426,53.375,69,0
2,312.5,318.8,1824,30.0,184,0
0,315.5,321.8,1596,43.5,92,0
2,313.3,318.9,1706,39.75,13,0
1,314.1,320.3,1233,73.75,86,0
1,314.2,320.8,1502,49.75,182,0
0,313.6,319.4,1447,50.25,178,0
0,313.8,319.8,1509,45.25,62,0
0,313.0,319.1,1820,29.5,125,0
0,315.3,321.8,1451,51.25,60,0
0,312.6,318.6,2384,18.0,176,0
0,312.7,318.4,1487,51.75,89,0
0,312.2,318.0,1705,32.5,205,0
0,315.2,320.4,1808,32.25,40,0
1,312.3,318.7,1542,46.25,189,0
0,313.3,318.2,1472,55.375,76,0
0,316.2,322.4,1480,66.875,102,0
1,312.6,318.6,1390,66.75,180,0
1,314.7,320.3,1429,59.625,40,0
1,313.1,319.3,1752,31.5,82,0
1,315.2,320.3,1593,45.125,41,0
0,313.8,320.1,1574,45.25,186,0
0,312.5,318.5,1691,41.375,14,0
0,313.5,319.7,1613,45.875,5,0
0,312.2,318.6,1335,66.25,44,0
0,312.9,319.1,1619,43.375,38,0
0,314.9,320.1,1681,36.375,202,0
0,315.3,321.3,1332,75.625,117,0
1,312.4,318.5,1465,69.875,158,0
0,313.9,319.8,1396,61.25,18,0
1,315.8,320.7,1386,52.625,175,0
0,314.0,320.1,1447,53.5,109,0
0,313.2,318.9,1683,39.625,79,0
1,315.0,321.3,1629,40.125,60,0
0,313.9,319.8,1616,45.625,115,0
0,313.9,320.0,1482,51.375,87,0
2,313.6,319.8,1279,69.875,157,0
2,315.4,321.6,1715,38.5,208,0
0,313.6,319.8,1561,40.75,206,0
0,314.2,320.6,1675,41.625,33,0
0,313.3,318.8,1454,61.25,171,0
0,312.4,318.5,1782,32.375,59,0
0,315.0,321.2,1629,39.625,67,0
0,312.3,318.5,1528,55.625,145,0
2,315.1,321.4,1518,58.625,92,0
0,314.0,320.1,2033,24.125,20,0
1,312.4,318.9,1376,48.75,186,0
1,313.8,319.7,1439,57.25,86,0
1,315.8,320.3,1868,30.625,100,0
0,315.2,320.2,1600,39.375,28,0
1,315.2,320.2,1429,54.75,59,0
0,313.3,319.1,1395,62.25,138,0
0,314.0,320.3,1577,50.0,186,0
0,312.1,318.5,1555,45.25,5,0
0,315.5,322.0,1478,48.75,158,0
0,315.7,321.8,1564,46.0,16,0
0,312.1,317.8,1636,37.875,95,0
0,315.1,321.3,1479,49.375,138,0
0,315.6,321.9,1425,56.125,229,0
0,313.9,320.1,2109,22.5,66,0
1,314.6,320.2,1620,37.5,75,0
0,314.0,320.2,1494,50.75,72,0
0,315.2,321.8,1798,29.0,215,0
2,315.2,320.3,1408,53.125,5,0
0,314.0,320.5,1755,34.875,61,0
2,312.2,317.9,1450,46.5,156,0
0,314.8,319.7,1431,50.375,106,0
0,314.0,320.1,1362,74.375,51,0
0,312.4,318.3,1284,75.375,55,0
0,313.6,319.6,1353,78.125,14,0
0,312.6,318.6,1553,50.625,140,0
0,312.5,318.6,1546,42.25,144,0
1,315.2,321.0,2370,18.375,149,0
1,312.9,318.9,1547,55.0,77,0
1,312.3,318.1,1709,38.25,201,0
0,312.1,318.5,1712,40.125,53,0
2,314.2,320.6,1704,38.25,165,0
0,312.4,318.5,1462,53.5,73,0
0,315.0,321.5,1812,35.375,99,0
0,315.7,320.4,1543,59.125,208,0
0,315.7,320.9,1723,38.75,78,0
0,315.1,321.1,1619,41.75,191,0
1,312.5,318.6,1255,75.875,82,0
0,313.0,319.0,1679,40.5,95,0
0,313.8,319.6,1442,62.5,109,0
0,313.0,318.7,1511,57.25,119,0
0,315.3,321.5,1667,36.0,61,0
1,313.9,318.4,1827,32.625,10,0
1,313.6,319.7,1314,62.125,141,0
0,315.1,321.6,1530,45.75,79,0
0,315.6,320.1,1495,52.875,137,0
0,313.2,319.2,1922,28.25,137,0
1,315.8,322.0,1422,63.375,224,0
1,315.6,320.3,1614,40.875,5,0
0,313.6,320.0,1517,48.75,9,0
2,312.4,318.7,1726,33.5,163,0
0,314.6,320.7,1922,29.125,210,1
0,315.3,320.4,1493,46.875,224,0
2,315.4,321.3,2026,25.375,31,0
0,315.7,321.8,1441,47.625,39,0
0,315.2,321.0,1627,42.125,152,0
0,312.2,318.6,1864,29.5,108,0
0,314.6,320.9,1716,35.625,122,0
0,315.5,321.9,1432,53.875,21,0
1,313.7,319.4,1375,60.375,162,0
2,314.8,321.3,1785,31.75,144,0
1,312.5,318.4,1403,55.375,30,0
1,313.1,319.2,1460,57.25,85,0
1,315.4,319.8,1356,55.5,141,0
2,315.1,321.6,1589,47.375,42,0
0,314.9,321.3,1371,65.375,172,0
0,315.3,321.7,1635,39.75,161,0
0,315.8,322.4,1493,48.875,84,0
0,314.8,321.1,1820,31.125,179,0
0,315.2,321.4,1483,55.5,146,0
0,313.7,320.0,1637,39.75,47,0
0,315.1,320.1,1569,54.375,22,0
2,315.2,321.6,1662,36.0,167,0
1,313.9,319.8,1353,67.125,76,0
0,313.3,319.0,1339,73.5,40,0
1,312.2,317.9,1687,38.0,87,0
1,314.1,320.1,1412,55.5,29,0
0,312.3,318.1,1642,46.125,211,0
0,312.5,318.5,1340,71.75,148,0
0,313.2,319.0,1489,50.75,94,0
0,312.5,318.9,1581,38.0,160,0
0,315.2,320.2,1415,62.0,26,0
0,315.3,321.7,1571,39.0,128,0
0,315.5,321.1,1491,53.25,16,0
1,313.0,319.0,1439,48.125,39,0
0,314.2,320.5,1458,55.125,96,0
0,314.2,320.3,1352,61.125,243,1
1,313.7,319.6,1738,34.125,84,0
1,315.1,321.3,1523,42.625,140,0
0,312.1,317.8,1536,50.5,97,0
0,315.2,321.5,1549,46.5,72,0
0,313.2,318.8,1666,39.375,35,0
0,315.0,321.2,1504,47.375,63,0
1,315.3,321.9,1429,52.0,189,0
1,315.4,322.0,1596,38.0,196,0
0,313.5,318.6,1522,46.125,58,0
2,315.2,321.5,1515,46.0,32,0
0,315.8,321.7,1432,57.25,11,0
0,315.2,320.2,1378,54.875,198,0
1,313.2,319.1,1457,61.25,82,0
0,316.1,322.3,1464,44.125,70,0
0,315.3,321.7,1365,66.625,118,0
0,315.1,321.7,1503,53.25,213,0
0,315.9,322.1,1359,64.625,151,0
0,312.4,318.7,1584,47.75,159,0
0,315.7,320.8,1772,34.125,74,0
0,313.8,319.5,1645,41.0,162,0
0,315.0,321.3,1407,59.125,213,0
0,315.4,321.8,1601,45.125,5,0
0,313.6,319.8,2271,20.25,223,1
0,313.9,320.0,1791,34.5,171,0
0,313.5,319.5,1428,54.375,92,0
2,312.3,317.9,1461,46.875,166,0
1,312.4,318.4,1620,44.75,220,0
2,314.1,319.9,1443,50.375,5,0
0,315.3,321.5,1378,59.375,69,0
0,314.2,320.3,1507,51.625,163,0
0,314.3,320.6,1480,56.375,112,0
1,314.8,320.8,1463,54.375,161,0
1,315.1,321.4,1913,27.375,20,0
0,314.5,320.7,1472,51.125,109,0
0,315.7,320.6,1491,54.0,192,0
1,313.6,319.5,1426,56.75,43,0
1,314.0,320.0,1486,43.25,96,0
0,315.5,321.5,1490,48.0,72,0
0,313.7,319.8,1181,82.375,208,1
0,313.3,319.0,1519,50.0,101,0
1,312.9,318.7,1751,33.25,116,0
1,314.9,320.4,1820,33.25,180,0
1,314.8,320.3,1805,29.625,203,0
1,313.5,319.6,1502,49.25,89,0
0,315.3,321.4,1343,72.125,147,0
0,313.1,318.7,1556,39.5,150,0
1,313.6,319.4,1465,51.375,35,0
0,312.6,318.6,1415,59.125,174,0
0,315.3,321.5,1446,56.25,87,0
1,313.1,317.8,1525,44.875,137,0
1,312.4,318.7,1481,60.0,122,0
2,312.5,318.4,1490,49.625,39,0
0,314.7,321.1,1439,56.125,179,0
0,315.7,321.7,1635,40.5,218,0
0,312.2,318.1,1712,38.625,209,0
0,312.4,318.3,1483,48.5,28,0
0,312.5,318.5,1375,69.5,133,0
0,312.5,318.5,1459,49.625,74,0
0,314.8,320.1,1553,52.5,182,0
0,312.4,318.4,1426,63.0,75,0
1,313.9,320.0,1323,66.125,111,0
0,313.2,319.0,1418,55.25,92,0
1,315.4,321.7,1555,48.375,10,0
0,315.1,321.4,1629,39.125,46,0
1,313.0,319.2,1438,53.625,106,0
0,315.3,321.8,2004,24.5,17,0
0,315.3,321.8,1413,57.5,187,0
0,313.4,319.1,1362,57.625,42,0
1,313.4,319.0,1507,45.125,196,0
0,313.6,319.5,1450,55.375,12,0
2,313.5,319.4,1417,51.5,160,0
0,313.4,319.5,1357,62.625,130,0
0,314.1,320.3,1459,58.375,89,0
0,314.6,320.2,1468,60.0,14,0
0,315.4,321.9,1476,60.875,194,0
0,314.2,320.4,1379,58.5,44,0
1,315.4,321.5,1750,34.125,121,0
1,313.5,319.7,1557,47.125,91,0
0,313.9,320.0,1422,54.5,83,0
0,315.6,321.3,1531,48.125,5,0
0,313.3,319.0,1471,60.375,96,0
0,315.0,321.1,1425,59.75,184,0
2,315.2,321.6,1496,51.375,65,0
0,313.7,319.5,1446,50.0,165,0
1,315.8,320.5,1511,44.75,59,0
0,312.5,318.4,1440,44.875,18,0
1,314.0,320.1,1705,37.625,89,0
2,314.9,320.3,1535,54.875,159,0
0,313.9,319.9,1517,45.75,122,0
0,315.2,321.6,1606,38.75,204,0
0,313.1,317.8,1606,41.25,135,0
1,313.7,319.6,1686,32.75,194,0
0,313.4,319.2,1610,40.5,199,0
0,313.0,318.5,1461,60.0,73,0
0,313.0,319.2,1378,62.125,99,0
0,315.7,321.7,1395,54.625,220,0
2,315.7,321.9,1329,74.0,126,0
0,315.2,321.5,1495,48.125,74,0
0,312.1,318.4,1693,36.875,105,0
2,313.8,319.8,1490,44.875,176,0
0,312.9,319.0,1456,58.125,57,0
1,312.2,318.2,1678,35.125,138,0
0,315.1,321.4,1484,53.875,18,0
1,315.3,321.2,1381,81.5,141,1
0,312.3,318.5,1384,49.5,149,0
0,312.5,318.6,1352,65.75,17,0
0,315.7,320.7,1333,76.25,182,0
0,312.4,318.5,1369,66.5,48,0
0,314.1,320.5,1739,34.25,77,0
2,313.3,319.6,1546,45.25,182,0
1,315.8,320.5,1409,63.25,146,0
2,312.4,318.2,1359,58.625,204,0
1,315.4,321.5,1476,40.75,149,0
0,312.8,318.9,1518,50.5,7,0
0,315.8,322.5,1434,63.375,126,0
0,315.2,321.5,1383,52.625,65,0
0,315.0,320.4,1505,56.125,138,0
0,312.7,318.2,2007,24.125,186,0
0,312.4,318.8,1538,51.5,131,0
0,315.8,322.3,1858,32.875,149,0
0,315.4,321.2,1705,35.875,25,0
0,314.7,321.2,1352,65.125,181,0
1,313.1,318.9,1479,54.25,110,0
0,312.4,318.6,1411,57.875,143,0
2,314.6,321.0,1714,37.75,133,0
1,313.4,319.7,1870,28.125,175,0
0,312.3,318.1,1458,57.125,207,0
0,312.6,318.3,1502,54.0,144,0
0,315.3,321.1,1676,35.75,163,0
1,315.3,321.4,1371,62.75,114,0
0,315.8,321.7,1655,40.25,17,0
2,313.9,318.4,1632,39.75,22,0
0,315.7,322.3,1548,47.375,63,0
0,313.8,318.3,1634,34.875,17,0
0,312.9,318.6,1757,34.375,123,0
0,314.1,320.3,1619,44.0,245,0
1,313.9,320.0,1487,45.75,134,0
1,313.1,319.0,1661,47.75,87,0
0,315.9,320.5,2288,20.125,90,0
0,313.9,319.8,1287,77.375,221,1
1,315.0,321.4,1537,44.25,125,0
0,312.9,319.0,1629,36.25,31,0
0,312.7,318.7,1829,31.125,22,0
0,314.9,320.4,1408,48.0,149,0
0,313.1,318.9,1351,65.5,107,0
0,314.9,320.0,1447,57.375,167,0
0,315.5,321.9,1750,35.375,212,0
0,313.9,319.7,1449,61.0,152,0
2,313.8,319.8,1563,48.5,70,0
1,315.8,320.4,1450,49.25,67,0
0,312.5,318.2,1489,50.875,146,0
0,314.9,321.0,1747,34.5,182,0
2,314.9,319.8,1400,60.875,124,0
0,312.6,318.7,1476,48.75,49,0
1,313.7,320.1,1402,87.125,69,1
2,315.2,321.5,1432,54.5,132,0
0,315.4,321.8,1272,74.0,203,1
0,315.7,322.1,1512,46.125,158,0
1,315.0,321.5,1451,61.25,120,0
0,315.0,321.3,1493,51.75,33,0
0,315.2,321.4,1425,55.25,89,0
0,315.3,321.6,1595,48.5,159,0
0,313.8,319.6,1523,52.375,170,0
2,314.8,320.6,1423,55.75,121,0
1,313.5,318.8,1553,43.625,23,0
0,314.6,320.9,1229,81.5,214,1
0,314.1,320.5,1736,33.625,79,0
2,314.2,320.7,1636,36.75,28,0
1,314.0,320.6,1787,27.75,197,0
1,312.3,318.4,1434,56.0,26,0
0,313.2,319.0,1491,47.875,126,0
0,315.6,321.6,1455,60.0,208,0
0,315.5,319.9,1443,60.375,127,0
1,312.5,318.6,1327,65.125,29,0
1,312.6,318.7,1392,51.5,183,0
1,313.3,319.4,1509,42.75,146,0
0,313.2,319.1,1569,44.0,204,0
2,314.6,320.1,1531,46.0,67,0
0,312.4,318.3,1366,56.875,16,0
0,313.8,319.3,1357,58.875,181,0
0,315.6,320.6,1454,49.625,72,0
0,314.3,320.3,1396,59.25,19,0
0,313.4,318.0,1605,40.5,159,0
0,315.6,321.9,1463,47.75,46,0
0,313.8,319.5,1368,55.875,152,0
0,313.9,320.3,1496,45.375,166,0
0,313.4,319.4,1385,54.0,124,0
0,315.2,320.3,1445,63.625,39,0
0,314.7,321.1,1650,40.5,65,0
0,315.4,320.4,1286,71.0,51,0
0,315.1,321.3,1547,50.0,206,0
1,315.3,320.2,1442,49.375,9,0
0,313.8,319.7,1336,62.875,49,0
0,315.0,321.5,1445,52.0,86,0
1,315.7,320.6,2006,23.875,107,0
0,315.6,320.3,1648,38.125,222,1
0,313.7,319.6,1364,56.125,111,0
1,312.4,318.8,1573,42.375,128,0
0,315.5,321.5,1316,62.125,60,0
0,315.8,322.3,1435,56.0,139,0
0,315.0,320.2,1486,45.5,71,0
0,313.4,319.1,1417,50.75,126,0
0,315.6,321.6,1964,26.75,20,0
0,312.2,317.9,1989,25.375,191,0
0,312.2,318.3,1656,37.875,129,0
0,315.2,320.4,1518,52.25,10,0
0,314.3,320.4,1629,40.75,182,0
0,314.1,320.3,1727,35.875,48,0
1,313.1,318.8,1394,59.875,75,0
2,313.7,319.6,1654,42.875,141,0
0,314.2,320.6,1370,77.375,47,0
2,315.8,321.9,1431,60.625,30,0
2,313.2,319.0,1360,71.0,112,0
0,315.2,319.8,1506,52.25,166,0
0,312.3,318.7,1491,50.25,117,0
0,313.2,318.7,1407,56.375,54,0
0,312.6,318.1,1437,57.875,154,0
0,313.1,318.8,1432,54.25,73,0
1,312.6,318.6,1482,47.875,44,0
2,313.1,318.4,1515,54.75,11,0
1,315.5,320.0,1406,62.75,124,0
0,313.3,318.3,1452,56.875,68,0
1,315.0,321.4,1533,53.25,185,0
0,312.4,318.5,1475,59.0,74,0
2,313.4,318.4,1479,49.0,63,0
0,313.9,318.6,1771,30.125,218,0
0,312.4,318.6,1532,48.375,141,0
0,315.5,321.9,1330,74.375,38,0
1,315.1,321.3,1748,33.25,47,0
1,312.7,318.8,1350,71.25,110,0
1,315.0,321.4,1384,57.625,12,0
0,313.9,320.2,1562,53.125,184,0
1,312.4,318.7,1798,28.75,140,0
1,315.5,321.3,1507,54.25,46,0
1,315.7,321.5,1569,45.5,25,0
0,313.2,319.0,1610,39.625,160,0
2,314.7,319.6,1433,62.0,134,0
0,312.1,318.3,1403,67.625,184,0
0,313.0,318.5,1404,58.25,206,0
0,315.7,321.7,1460,57.625,20,0
0,314.4,320.5,1749,35.125,184,0
0,315.7,321.8,1478,52.375,212,0
2,314.4,320.8,1585,39.25,154,0
0,315.1,320.1,1684,38.5,18,0
1,315.3,321.2,1783,32.0,144,0
0,312.3,317.9,1797,30.875,80,0
0,315.0,321.5,1666,40.0,133,0
1,314.1,320.1,1649,39.5,46,0
0,316.0,322.1,1377,62.375,53,0
0,315.1,321.3,1470,56.5,45,0
1,313.6,319.7,1422,62.125,144,0
0,312.4,318.3,1472,56.875,7,0
0,315.2,320.3,1202,74.375,45,0
0,315.7,321.9,1335,71.375,199,1
2,312.4,318.7,1429,47.0,123,0
0,315.2,321.6,1322,63.625,220,0
1,315.9,321.9,1480,51.125,33,0
0,312.6,318.5,1475,53.0,29,0
1,314.0,318.7,1500,50.25,35,0
0,313.5,319.5,1569,51.25,158,0
0,312.2,318.5,1446,54.625,176,0
0,314.1,320.2,1352,66.0,46,0
2,312.5,318.4,1793,29.875,33,0
0,315.3,321.7,1682,34.75,183,0
2,313.9,320.5,1429,49.875,24,0
1,313.9,319.8,1363,63.25,120,0
0,315.3,320.3,1704,36.875,5,0
2,312.7,318.4,1738,34.625,101,0
0,313.6,319.8,1704,35.375,69,0
2,313.6,319.6,1449,53.125,21,0
0,313.5,319.7,2617,15.125,107,1
1,314.1,320.4,1422,61.625,74,0
0,313.3,319.1,1904,25.375,145,0
0,312.3,318.7,1531,45.875,121,0
1,314.5,320.1,1359,76.375,72,0
0,313.2,318.7,1605,36.75,52,0
0,315.5,322.0,1461,47.625,44,0
0,313.7,320.1,1641,38.875,54,0
0,314.7,320.2,1458,54.25,33,0
0,312.7,318.2,1334,66.25,161,0
1,314.2,320.3,1551,56.0,23,0
1,316.2,322.4,1428,45.75,104,0
0,312.5,318.9,1443,54.375,5,0
2,312.7,318.4,1418,64.875,82,0
1,315.2,321.8,1748,35.625,189,0
0,312.5,318.4,1747,38.75,50,0
1,314.8,319.6,1331,62.75,103,0
2,313.6,319.4,1439,58.875,154,0
0,315.4,321.2,1351,77.5,23,0
0,314.7,319.6,1720,33.875,151,0
0,314.6,320.1,2057,25.5,65,0
1,315.4,321.2,1366,70.125,182,0
0,313.7,319.6,1516,48.125,66,0
0,312.8,319.0,1340,71.125,11,0
0,312.3,318.1,1615,44.25,222,1
1,315.5,321.9,1370,56.0,25,0
2,314.8,320.9,1427,59.0,173,0
0,312.1,318.3,1496,57.25,195,0
1,312.5,318.5,1401,63.125,11,0
1,315.6,321.7,1389,65.125,215,0
1,314.1,320.6,1397,61.875,170,0
0,312.8,318.3,1435,62.625,194,0
1,315.5,321.5,1370,70.125,12,0
0,315.5,320.6,1499,56.5,13,0
0,314.0,319.9,1411,55.875,99,0
0,314.4,320.9,1751,34.75,15,0
0,313.3,319.1,1403,56.375,143,0
0,315.1,321.2,1489,48.875,193,0
0,315.5,321.6,1525,47.0,196,0
0,315.1,321.5,2218,21.25,128,0
0,315.1,321.3,1676,37.875,156,0
0,315.0,319.9,1507,51.75,79,0
1,315.0,320.2,1443,73.375,73,0
0,314.8,319.9,1553,45.75,162,0
0,313.8,320.0,1528,45.875,152,0
1,313.7,319.6,1800,31.0,83,0
0,315.6,320.2,1489,59.75,26,0
1,312.4,317.9,1627,42.875,171,0
1,314.8,321.0,1948,25.0,190,0
1,312.5,318.4,1505,46.5,220,0
0,315.6,321.7,1448,61.375,211,0
1,312.9,319.1,1488,46.625,35,0
0,313.8,319.9,1441,52.0,67,0
0,313.9,319.8,1411,70.375,89,0
1,314.3,320.5,1462,50.625,29,0
0,313.6,319.7,1294,74.25,109,0
0,313.8,319.8,1634,42.0,32,0
0,315.9,320.4,1454,53.875,48,0
0,312.1,317.8,1681,34.5,186,0
0,315.5,321.0,1759,35.375,18,0
0,312.5,318.7,1761,32.75,169,0
2,313.7,319.5,1453,50.5,113,0
1,315.4,321.4,1604,39.625,124,0
1,315.7,321.6,1348,78.125,41,0
0,314.7,319.6,1399,64.125,149,0
0,312.3,318.6,1505,41.875,19,0
0,315.8,321.8,1323,76.375,183,0
1,312.7,318.5,1559,44.0,132,0
1,315.3,321.5,1445,59.125,45,0
2,312.3,318.7,1569,42.375,98,0
0,313.4,319.2,1345,65.875,201,0
1,313.1,319.1,1572,46.875,131,0
0,313.5,319.3,1590,42.375,112,0
0,315.1,321.3,1535,52.875,97,0
1,314.1,320.0,1580,45.0,200,0
0,315.2,321.6,1511,44.625,165,0
0,314.1,320.7,1309,63.875,193,0
1,313.5,318.7,1615,41.625,46,0
0,312.5,318.1,1631,38.25,151,0
0,314.2,320.7,1535,53.25,22,0
1,314.8,319.7,1705,35.625,108,0
0,315.4,320.4,1298,76.75,24,0
0,313.6,318.2,1390,64.25,173,0
0,315.0,321.2,1351,55.125,211,0
0,312.1,318.5,1483,58.625,208,0
1,312.5,318.6,1349,64.375,26,0
0,314.3,320.4,1725,33.5,172,0
0,313.5,319.4,1911,26.875,169,0
2,315.4,321.4,1445,65.5,110,0
0,313.8,320.5,1464,58.0,212,0
0,312.6,318.6,1383,59.375,80,0
0,315.6,321.9,1372,75.125,217,1
0,315.5,321.0,2074,23.625,14,0
1,314.1,320.2,1456,60.5,106,0
0,314.1,320.2,1425,65.875,159,0
0,312.9,318.5,1683,35.625,68,0
0,314.4,320.4,1509,50.75,180,0
0,315.2,321.5,1500,51.0,22,0
2,313.5,319.4,1414,58.375,107,0
0,315.3,321.1,1605,46.375,165,0
1,313.7,319.7,1629,34.875,141,0
0,315.3,321.7,1452,51.875,177,0
1,312.3,318.2,1452,47.75,49,0
0,313.5,320.0,1492,51.5,24,0
0,312.4,317.9,1390,59.625,161,0
0,313.9,320.1,1466,54.25,55,0
0,315.9,322.1,1423,50.25,68,0
0,316.0,321.9,1889,29.375,203,0
0,313.6,319.0,1456,59.625,5,0
1,314.5,320.1,1659,39.375,49,0
2,315.6,322.1,1354,58.625,143,0
0,312.5,318.6,1437,54.125,39,0
0,312.4,318.4,1369,63.25,225,1
1,315.4,320.5,1500,53.75,14,0
1,313.7,319.6,1424,63.0,37,0
0,314.4,320.5,1372,57.875,178,0
0,313.9,320.2,1623,46.5,182,0
2,312.5,318.1,1548,47.75,122,0
1,315.6,321.9,1629,44.125,5,0
2,312.9,318.4,1637,43.125,196,0
0,315.9,322.1,1711,36.0,79,0
0,313.8,318.5,1527,45.25,8,0
0,314.8,321.2,1369,57.75,151,0
